10% LDA,20% LDA,30% LDA,10% PCA,20% PCA,30% PCA,10% LAD U,20% LDA U,30% LDA U,10% PCA U,20% PCA U, 30% PCA U,10% LAD O,20% LAD O,30% LAD O,10% PCA O,20% PCA O,30% PCA O,10%,20%,30%
R2 LN: 0.5618881510394962,R2 LN: 0.5041900982150748,R2 LN: 0.4927866255820207,R2 LN: 0.5282121813594496,R2 LN: 0.4753742755353033,R2 LN: 0.46568286690897653,R2 LN: 0.7524543977902298,R2 LN: 0.6786802216427132,R2 LN: 0.663615555682719,R2 LN: 0.7214445089990282,R2 LN: 0.7400765044385769,R2 LN: 0.7305304112238034,R2 LN: 0.7635925495609067,R2 LN: 0.7475267940774699,R2 LN: 0.7439193356990967,R2 LN: 0.7369995676749912,R2 LN: 0.7373150824242898,R2 LN: 0.7286196676676804,R2 LN: 0.5618881510394962,R2 LN: 0.5041900982150747,R2 LN: 0.49278662558202013
R2 LNP2: 0.8071489417811208,R2 LNP2: 0.7612939803295771,R2 LNP2: 0.7510945668752906,R2 LNP2: 0.7993926928925605,R2 LNP2: 0.7795515454599702,R2 LNP2: 0.7698297738540906,R2 LNP2: 0.7277140678345341,R2 LNP2: 0.6956373357267776,R2 LNP2: 0.6859051023776452,R2 LNP2: 0.6476387214490104,R2 LNP2: 0.7690086279751207,R2 LNP2: 0.7559104093017317,R2 LNP2: 0.8283614540695288,R2 LNP2: 0.7950646052829744,R2 LNP2: 0.8028222702205406,R2 LNP2: 0.8230878657126647,R2 LNP2: 0.8217220680819086,R2 LNP2: 0.8177087367073441,R2 LNP2: 0.8051823695564234,R2 LNP2: 0.7865151627989853,R2 LNP2: 0.7737980964040417
R2 RP2: 0.8070857582762045,R2 RP2: 0.7613227028359663,R2 RP2: 0.751131512063417,R2 RP2: 0.7532897274132704,R2 RP2: 0.7247912211916698,R2 RP2: 0.7017609245129377,R2 RP2: 0.7544893404120969,R2 RP2: 0.6783153083849289,R2 RP2: 0.6598069333756217,R2 RP2: 0.6849044578260965,R2 RP2: 0.6326074028661731,R2 RP2: 0.5920185243871812,R2 RP2: 0.8284273608654685,R2 RP2: 0.7950728685122247,R2 RP2: 0.8028608684378157,R2 RP2: 0.8193133995522236,R2 RP2: 0.8186848198314272,R2 RP2: 0.8090014476083239,R2 RP2: 0.7467700656652807,R2 RP2: 0.7129092709621543,R2 RP2: 0.6901629204784963
R2 RF: 0.8957097930140704,R2 RF: 0.8624796667270428,R2 RF: 0.8547897694606474,R2 RF: 0.9895033026113671,R2 RF: 0.9735693971063258,R2 RF: 0.970571667544113,R2 RF: 0.8201000619402062,R2 RF: 0.7501886326820648,R2 RF: 0.7603797062261229,R2 RF: 0.965654335451356,R2 RF: 0.9581946807072087,R2 RF: 0.9468944805747759,R2 RF: 0.9063086092105765,R2 RF: 0.8788981374045148,R2 RF: 0.8846655331310294,R2 RF: 0.9906451612903225,R2 RF: 0.9886071871009943,R2 RF: 0.9868253859348199,R2 RF: 1.0,R2 RF: 1.0,R2 RF: 1.0
R2 Report SVM: -0.6635944700460832,R2 Report SVM: -1.0195804195804197,R2 Report SVM: -0.9863797700524763,R2 Report SVM: -0.6635944700460832,R2 Report SVM: -1.0195804195804197,R2 Report SVM: -0.9863797700524763,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: 0.0,R2 Report SVM: -0.6635944700460832,R2 Report SVM: -1.0195804195804197,R2 Report SVM: -0.9863797700524763
R2 SVR: 0.8945388097791866,R2 SVR: 0.8352821121231669,R2 SVR: 0.8334051561957369,R2 SVR: 0.8652449665458792,R2 SVR: -1.0195804195804197,R2 SVR: 0.8354034987443396,R2 SVR: 0.8567145391833357,R2 SVR: 0.7558895475676481,R2 SVR: 0.7681677863063485,R2 SVR: 0.0,R2 SVR: 0.0,R2 SVR: 0.0,R2 SVR: 0.9151153467813481,R2 SVR: 0.8904595217125015,R2 SVR: 0.8879652120337375,R2 SVR: 0.0,R2 SVR: 0.0,R2 SVR: 0.0,R2 SVR: 0.8082321417670297,R2 SVR: 0.7962631481558756,R2 SVR: 0.7923535186535011
R2 KNN: 0.9221710189452125,R2 KNN: 0.8639440559440559,R2 KNN: 0.8606565562216599,R2 KNN: 0.9545997610513739,R2 KNN: 0.942916342916343,R2 KNN: 0.959343104121733,R2 KNN: 0.870899470899471,R2 KNN: 0.7671380471380471,R2 KNN: 0.7624642464246425,R2 KNN: 0.9470899470899471,R2 KNN: 0.9595959595959596,R2 KNN: 0.9361936193619362,R2 KNN: 0.924826762246117,R2 KNN: 0.8906438746438746,R2 KNN: 0.9045092433771679,R2 KNN: 0.98805256869773,R2 KNN: 0.9851851851851852,R2 KNN: 0.9824661711454165,R2 KNN: 0.9069943676395289,R2 KNN: 0.9097684537684537,R2 KNN: 0.9063471630181886
R2 KNN BGG: 0.9027336280134173,R2 KNN BGG: 0.8567059607059607,R2 KNN BGG: 0.8606001870884047,R2 KNN BGG: 0.9378162324837769,R2 KNN BGG: 0.9292749155606298,R2 KNN BGG: 0.9429404765659469,R2 KNN BGG: 0.8411467444120505,R2 KNN BGG: 0.7382374768089053,R2 KNN BGG: 0.768729036168923,R2 KNN BGG: 0.9312925170068027,R2 KNN BGG: 0.9428509585652443,R2 KNN BGG: 0.9358698727015559,R2 KNN BGG: 0.9025916172920782,R2 KNN BGG: 0.884436420722135,R2 KNN BGG: 0.8943396226415095,R2 KNN BGG: 0.9816282642089094,R2 KNN BGG: 0.9849345892203035,R2 KNN BGG: 0.9824937865369132,R2 KNN BGG: 0.9039487131258033,R2 KNN BGG: 0.9000622234907949,R2 KNN BGG: 0.9161898985431851
R2 DT: 0.8603816908227705,R2 DT: 0.8268961504398012,R2 DT: 0.8420032937063441,R2 DT: 0.9686922003824572,R2 DT: 0.9626003626003626,R2 DT: 0.9738634240782569,R2 DT: 0.7369733290141454,R2 DT: 0.7030605134871009,R2 DT: 0.731904057185764,R2 DT: 0.9828042328042328,R2 DT: 0.9663299663299664,R2 DT: 0.9603960396039604,R2 DT: 0.8941198420825917,R2 DT: 0.8528596405798787,R2 DT: 0.8561793160501606,R2 DT: 0.9885752688172043,R2 DT: 0.9763532763532764,R2 DT: 0.9858967028778349,R2 DT: 1.0,R2 DT: 1.0,R2 DT: 1.0
