Sigla da UF,Rede,TX_Apro,Indicador de Rendimento (P),SAEB_M,SAEB_P,Nota Média Padronizada (N),"IDEB
2021
(N x P)"
,,,,,,,
,,,,,,,
SG_UF,REDE,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2021
AM,Municipal,-,-,-,-,-,-
AM,Municipal,91.0,0.91,ND,ND,-,-
AM,Municipal,98.9,0.99,221.64,216.55,3.97,3.9
AM,Municipal,-,-,-,-,-,-
AM,Municipal,90.5,0.91,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,81.2,0.81,ND,ND,-,-
AM,Municipal,93.3,0.93,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,96.4,0.97,222.42,232.98,4.26,4.1
AM,Municipal,87.4,0.88,212.95,221.51,3.91,3.4
AM,Estadual,92.8,0.93,240.55,228.26,4.48,4.2
AM,Estadual,98.6,0.99,239.83,241.38,4.69,4.6
AM,Estadual,95.7,0.94,214.96,227.65,4.04,3.8
AM,Estadual,100.0,1.00,237.33,235.32,4.54,4.5
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,98.8,0.99,207.30,203.94,3.52,3.5
AM,Municipal,98.0,0.98,192.92,222.39,3.59,3.5
AM,Estadual,88.7,0.87,ND,ND,-,-
AM,Estadual,98.9,0.99,215.87,230.23,4.10,4.1
AM,Municipal,100.0,1.00,221.67,224.15,4.10,4.1
AM,Municipal,97.8,0.98,196.71,198.79,3.26,3.2
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,91.5,0.91,209.60,222.37,3.87,3.5
AM,Municipal,-,-,-,-,-,-
AM,Municipal,93.3,0.92,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,88.1,0.88,224.97,209.33,3.91,3.5
AM,Municipal,-,-,-,-,-,-
AM,Estadual,96.4,0.96,223.92,223.87,4.13,4.0
AM,Estadual,99.3,0.99,245.59,248.60,4.90,4.9
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,96.1,0.95,195.03,197.58,3.21,3.1
AM,Municipal,93.3,0.93,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Estadual,99.4,0.99,224.15,229.70,4.23,4.2
AM,Estadual,-,-,-,-,-,-
AM,Estadual,100.0,1.00,231.85,236.81,4.48,4.5
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Estadual,98.3,0.98,239.19,242.70,4.70,4.6
AM,Municipal,90.7,0.91,211.59,227.95,3.99,3.6
AM,Municipal,81.1,0.77,212.52,203.87,3.61,2.8
AM,Municipal,92.6,0.93,206.81,222.55,3.82,3.6
AM,Municipal,99.7,1.00,227.53,220.42,4.13,4.1
AM,Municipal,77.5,0.77,226.94,208.62,3.93,3.0
AM,Municipal,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,98.7,0.99,239.96,241.73,4.69,4.6
AM,Estadual,94.2,0.94,248.14,235.32,4.72,4.4
AM,Municipal,87.4,0.87,ND,ND,-,-
AM,Estadual,96.7,0.97,241.15,239.81,4.68,4.5
AM,Municipal,99.4,0.99,ND,ND,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,97.5,0.97,245.31,241.91,4.79,4.7
AM,Estadual,98.6,0.99,252.67,250.01,5.04,5.0
AM,Estadual,93.0,0.94,201.19,206.28,3.46,3.2
AM,Estadual,98.3,0.98,212.55,212.33,3.75,3.7
AM,Estadual,93.1,0.93,229.34,235.06,4.41,4.1
AM,Estadual,-,-,-,-,-,-
AM,Estadual,94.6,0.93,214.66,238.83,4.22,3.9
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Estadual,83.0,0.84,219.83,220.96,4.01,3.4
AM,Municipal,78.7,0.79,ND,ND,-,-
AM,Estadual,100.0,1.00,234.56,228.85,4.39,4.4
AM,Estadual,100.0,1.00,259.46,251.16,5.18,5.2
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Municipal,78.3,0.78,ND,ND,-,-
AM,Estadual,84.6,0.83,ND,ND,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,87.4,0.87,ND,ND,-,-
AM,Estadual,92.1,0.93,233.04,241.83,4.58,4.2
AM,Municipal,89.9,0.90,222.07,225.26,4.12,3.7
AM,Municipal,87.1,0.87,207.79,213.49,3.69,3.2
AM,Estadual,-,-,-,-,-,-
AM,Estadual,97.5,0.97,246.90,251.78,4.98,4.9
AM,Municipal,83.1,0.84,ND,ND,-,-
AM,Municipal,79.8,0.80,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,91.0,0.89,201.22,212.07,3.55,3.2
AM,Municipal,92.0,0.91,204.08,208.04,3.54,3.2
AM,Estadual,-,-,-,-,-,-
AM,Estadual,87.3,0.88,227.51,227.07,4.24,3.7
AM,Estadual,93.8,0.94,224.96,234.76,4.33,4.1
AM,Estadual,100.0,1.00,230.34,238.46,4.48,4.5
AM,Estadual,92.2,0.92,229.85,236.56,4.44,4.1
AM,Municipal,98.0,0.98,ND,ND,-,-
AM,Municipal,85.6,0.86,226.57,224.97,4.19,3.6
AM,Estadual,-,-,-,-,-,-
AM,Municipal,94.1,0.94,210.88,215.59,3.77,3.5
AM,Municipal,93.1,0.93,239.22,249.62,4.81,4.5
AM,Municipal,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Municipal,77.8,0.78,202.81,199.39,3.37,2.6
AM,Estadual,-,-,-,-,-,-
AM,Estadual,88.0,0.88,209.06,217.85,3.78,3.3
AM,Estadual,-,-,-,-,-,-
AM,Estadual,98.2,0.98,216.18,222.82,3.98,3.9
AM,Estadual,80.0,0.82,ND,ND,-,-
AM,Municipal,75.6,0.75,ND,ND,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,84.3,0.84,ND,ND,-,-
AM,Municipal,99.2,0.99,249.02,255.05,5.07,5.0
AM,Municipal,86.1,0.87,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,95.7,0.96,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,98.6,0.99,231.63,241.59,4.55,4.5
AM,Municipal,100.0,1.00,214.31,223.58,3.96,4.0
AM,Municipal,69.8,0.70,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,85.4,0.83,227.57,234.86,4.37,3.6
AM,Municipal,78.5,0.78,ND,ND,-,-
AM,Municipal,99.8,1.00,ND,ND,-,-
AM,Estadual,99.6,1.00,241.04,252.51,4.89,4.9
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Estadual,98.6,0.99,237.83,249.15,4.78,4.7
AM,Municipal,100.0,1.00,218.85,217.60,3.94,3.9
AM,Municipal,94.0,0.94,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,99.7,1.00,226.44,231.31,4.30,4.3
AM,Municipal,-,-,-,-,-,-
AM,Municipal,94.2,0.95,ND,ND,-,-
AM,Municipal,98.8,0.99,208.73,196.22,3.42,3.4
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,196.77,204.43,3.35,3.4
AM,Municipal,100.0,1.00,197.79,202.09,3.33,3.3
AM,Estadual,97.6,0.98,199.88,204.08,3.40,3.3
AM,Estadual,94.9,0.95,234.89,242.41,4.62,4.4
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,100.0,1.00,229.39,228.63,4.30,4.3
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
